,inicial_mat,inicial_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_1a4,matri/prof,matri/salas,com_escola_1,com_escola_2,rural,alimentacao_rural
81,212.4,199.18,0,0,1,1,0,0,1,1,1,1. Urbana,82.0,0.0,0.0,1,62,0.0,0.0,0.0,4,3,0,0
82,232.32,230.69,0,0,1,1,0,1,1,1,0,1. Urbana,240.0,0.0,0.0,19,107,0.0,0.0,0.0,5,3,0,0
83,216.99,205.11,1,0,1,1,1,0,1,1,1,1. Urbana,80.0,0.0,0.0,14,88,0.0,0.0,0.0,6,4,0,0
84,224.55,212.36,1,0,1,1,0,0,1,1,1,1. Urbana,12.0,0.0,0.0,6,42,0.0,0.0,0.0,5,4,0,0
85,211.32,182.3,1,0,0,1,1,0,1,1,1,2. Rural,32.0,0.0,0.0,8,46,0.0,0.0,0.0,5,3,1,1
86,229.25,218.72,1,0,1,1,1,1,1,1,1,1. Urbana,144.0,0.0,0.0,10,85,0.0,0.0,0.0,7,4,0,0
87,238.78,212.31,1,0,1,1,1,0,0,1,0,2. Rural,46.0,0.0,0.0,13,53,0.0,0.0,0.0,5,3,1,1
88,224.46,218.65,1,0,0,1,1,0,1,1,1,2. Rural,50.0,0.0,0.0,10,47,0.0,0.0,0.0,5,3,1,1
89,201.92,196.32,1,0,1,1,1,0,1,1,1,1. Urbana,51.0,0.0,0.0,19,95,0.0,0.0,0.0,6,4,0,0
90,214.16,208.64,1,0,1,1,1,0,1,1,1,1. Urbana,85.0,0.0,0.0,13,59,0.0,0.0,0.0,6,4,0,0
91,212.88,204.07,1,1,1,1,1,0,1,1,1,2. Rural,88.0,0.0,0.0,20,90,0.0,0.0,0.0,7,5,1,1
92,201.5,187.95,1,0,1,1,1,0,1,1,1,1. Urbana,25.0,0.0,0.0,14,60,0.0,0.0,0.0,6,4,0,0
93,212.04,194.37,1,0,0,1,1,0,0,1,1,2. Rural,74.0,0.0,0.0,2,56,0.0,0.0,0.0,4,2,1,1
94,263.36,258.53,1,0,1,1,1,0,1,1,0,1. Urbana,29.0,0.0,0.0,11,51,0.0,0.0,0.0,6,4,0,0
95,196.48,187.72,0,0,0,1,0,0,1,1,0,1. Urbana,28.0,0.0,0.0,10,38,0.0,0.0,0.0,3,2,0,0
96,209.58,210.31,1,0,1,1,0,0,1,1,0,1. Urbana,28.0,0.0,0.0,15,51,0.0,0.0,0.0,5,4,0,0
97,224.76,213.36,0,0,1,1,0,0,1,1,0,1. Urbana,113.0,0.0,0.0,17,83,0.0,0.0,0.0,4,3,0,0
98,213.25,189.84,0,0,0,1,0,0,0,1,0,2. Rural,5.0,0.0,0.0,5,9,0.0,0.0,0.0,2,1,1,1
99,235.81,208.1,0,0,0,1,0,0,1,1,0,2. Rural,29.0,0.0,0.0,10,20,0.0,0.0,0.0,3,2,1,1
100,208.23,196.45,0,0,0,1,1,0,1,1,0,2. Rural,84.0,0.0,0.0,11,39,0.0,0.0,0.0,4,2,1,1
101,198.79,179.51,0,0,0,1,1,0,1,1,0,2. Rural,43.0,0.0,0.0,7,34,0.0,0.0,0.0,4,2,1,1
102,232.58,204.14,1,0,1,1,1,1,1,1,0,1. Urbana,61.0,0.0,0.0,12,51,0.0,0.0,0.0,7,4,0,0
103,202.95,179.84,0,0,1,1,0,0,1,1,0,2. Rural,67.0,0.0,0.0,13,50,0.0,0.0,0.0,4,3,1,1
104,180.92,161.8,1,0,0,1,0,0,0,1,0,2. Rural,22.0,0.0,0.0,1,17,0.0,0.0,0.0,3,2,1,1
105,201.61,183.49,1,0,0,1,0,0,0,1,0,2. Rural,25.0,0.0,0.0,4,25,0.0,0.0,0.0,3,2,1,1
106,192.35,166.0,1,0,0,1,0,0,0,1,0,2. Rural,36.0,0.0,0.0,4,23,0.0,0.0,0.0,3,2,1,1
107,238.89,209.77,0,0,0,1,0,0,1,1,0,2. Rural,36.0,0.0,0.0,6,21,0.0,0.0,0.0,3,2,1,1
108,195.21,188.55,1,0,0,1,0,0,0,1,0,2. Rural,22.0,0.0,0.0,4,17,0.0,0.0,0.0,3,2,1,1
109,230.02,212.11,1,0,1,1,1,1,1,1,0,1. Urbana,168.0,0.0,0.0,17,97,0.0,0.0,0.0,7,4,0,0
110,248.44,230.25,0,0,0,1,0,1,1,1,0,1. Urbana,24.0,0.0,0.0,6,33,0.0,0.0,0.0,4,2,0,0
111,229.42,210.14,1,0,0,1,0,1,1,1,0,1. Urbana,30.0,0.0,0.0,10,35,0.0,0.0,0.0,5,3,0,0
