,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
114,274.77,269.39,1,0,1,1,1,0,1,1,1,1. Urbana,31.0,0.0,0.0,10,53,0.0,0
115,245.18,240.96,1,0,1,1,1,0,1,1,1,1. Urbana,47.0,0.0,0.0,10,50,0.0,0
116,270.26,261.3,0,0,0,1,0,0,1,1,1,1. Urbana,52.0,0.0,0.0,5,44,0.0,0
117,273.07,279.47,1,1,1,1,1,1,1,1,0,1. Urbana,162.0,0.0,0.0,19,128,0.0,0
118,279.88,281.77,1,1,1,1,1,0,1,1,0,1. Urbana,133.0,0.0,0.0,13,78,0.0,0
119,293.67,292.57,1,0,1,1,1,1,1,1,0,2. Rural,26.0,0.0,0.0,5,30,0.0,1
120,294.63,269.55,1,1,1,1,1,0,1,1,0,1. Urbana,103.0,0.0,0.0,12,53,0.0,0
121,277.09,252.18,0,0,1,1,1,0,1,1,1,2. Rural,33.0,0.0,0.0,10,47,0.0,1
122,269.9,258.97,0,0,0,1,1,0,1,1,0,1. Urbana,44.0,0.0,0.0,7,37,0.0,0
123,265.48,256.92,1,0,1,1,1,1,1,1,0,1. Urbana,113.0,0.0,0.0,19,86,0.0,0
124,257.94,253.84,1,0,1,1,1,0,1,1,1,1. Urbana,113.0,0.0,0.0,16,72,0.0,0
125,247.53,240.85,0,0,1,1,1,0,1,1,0,2. Rural,53.0,0.0,0.0,9,30,0.0,1
126,263.68,241.03,0,0,1,1,1,0,1,1,0,1. Urbana,71.0,0.0,0.0,17,57,0.0,0
127,250.88,265.09,0,0,0,1,0,0,1,1,0,2. Rural,49.0,0.0,0.0,5,22,0.0,1
128,255.54,253.95,0,0,0,1,0,0,1,1,1,2. Rural,25.0,0.0,0.0,6,15,0.0,1
